,death_rate,stringency_mean,iso_code,location,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,life_expectancy,human_development_index
0,3.7138214445517272,54.2716475095786,AFG,Afghanistan,54.422,18.6,2.5810000000000004,1.337,1803.987,597.029,9.59,64.83,0.498
1,2.2890804143275085,67.3160483870965,ALB,Albania,104.87100000000001,38.0,13.187999999999999,8.642999999999999,11803.431,304.195,10.08,78.57,0.785
2,3.2736500330990133,70.36161538461538,DZA,Algeria,17.348,29.1,6.211,3.8569999999999998,13913.839,278.36400000000003,6.73,76.88,0.754
3,1.369362789848457,44.36767068273101,AND,Andorra,163.755,0.0,0.0,0.0,0.0,109.135,7.97,83.73,0.858
4,2.4290220820189274,73.29710638297867,AGO,Angola,23.89,16.8,2.405,1.3619999999999999,5819.495,276.045,3.94,61.15,0.581
6,2.2900763358778624,0.0,ATG,Antigua and Barbuda,231.845,32.1,6.933,4.631,21490.943,191.511,13.17,77.02,0.78
7,2.7076458538950083,84.16083333333296,ARG,Argentina,16.177,31.9,11.198,7.441,18933.907,191.032,5.5,76.67,0.825
8,1.4780416851120728,0.0,ARM,Armenia,102.931,35.7,11.232000000000001,7.571000000000001,8787.58,341.01,7.11,75.09,0.755
9,0.9086975335352662,50.351422594142186,ABW,Aruba,584.8,41.2,13.085,7.452000000000001,35973.781,0.0,11.62,76.29,0.0
10,3.2769708793988004,57.26431506849299,AUS,Australia,3.202,37.9,15.504000000000001,10.129,44648.71,107.791,5.07,83.44,0.9390000000000001
11,0.8750331685703883,49.9827692307694,AUT,Austria,106.749,44.4,19.202,13.748,45436.685999999994,145.183,6.35,81.54,0.9079999999999999
12,1.286502849002849,78.23501945525271,AZE,Azerbaijan,119.309,32.4,6.018,3.8710000000000004,15847.419,559.812,7.11,73.0,0.757
13,2.20504009163803,0.0,BHS,Bahamas,39.497,34.3,8.996,5.2,27717.847,235.954,13.17,73.92,0.807
14,0.39612938635739936,64.5885496183207,BHR,Bahrain,1935.9070000000002,32.4,2.372,1.3869999999999998,43290.705,151.689,16.52,77.29,0.846
15,1.4418582692035316,78.10717741935504,BGD,Bangladesh,1265.036,27.5,5.098,3.262,3523.9840000000004,298.003,8.38,72.59,0.608
16,2.880658436213992,57.11380753138055,BRB,Barbados,664.4630000000001,39.8,14.952,9.472999999999999,16978.068,170.05,13.57,79.19,0.8
17,0.9381348107109879,14.86728682170546,BLR,Belarus,46.858000000000004,40.3,14.799000000000001,9.788,17167.967,443.129,5.18,74.79,0.8079999999999999
18,2.650642994432005,54.46771428571434,BEL,Belgium,375.564,41.8,18.570999999999998,12.849,42658.575999999994,114.898,4.29,81.63,0.9159999999999999
19,1.6538287267784322,71.3793562231759,BLZ,Belize,16.426,25.0,3.853,2.279,7824.361999999999,176.957,17.11,74.62,0.708
20,1.5462064005753327,47.45083333333328,BEN,Benin,99.11,18.8,3.2439999999999998,1.942,2064.236,235.84799999999998,0.99,61.77,0.515
21,4.205607476635514,53.23873417721507,BMU,Bermuda,1308.82,0.0,0.0,0.0,50669.315,139.547,13.0,82.59,0.0
23,6.17394717658274,85.77024489795896,BOL,Bolivia,10.202,25.4,6.704,4.393,6885.829000000001,204.299,6.89,71.51,0.693
24,1.948051948051948,0.0,BES,Bonaire Sint Eustatius and Saba,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.79,0.0
25,2.5052288385826773,59.171747967479654,BIH,Bosnia and Herzegovina,68.49600000000001,42.5,16.569000000000003,10.710999999999999,11713.895,329.635,10.08,77.4,0.768
